etablissement;annee;ville;academie;departement;taux_brut_de_reussite_total_series;taux_reussite_attendu_france_total_series
LYCEE NOTRE DAME DE BELLEGARDE;2019;NEUVILLE SUR SAONE;LYON;RHONE;100;98
LYCEE DES CHASSAGNES;2019;OULLINS;LYON;RHONE;93;90
LYCEE SAINT JOSEPH;2019;TASSIN LA DEMI LUNE;LYON;RHONE;97;98
LYCEE LA MACHE;2019;LYON 08;LYON;RHONE;97;98
LYCEE LA MARTINIERE MONPLAISIR;2019;LYON 08;LYON;RHONE;94;95
LYCEE JEAN-PAUL SARTRE;2019;BRON;LYON;RHONE;91;95
LYCEE AIGUERANDE (GENERAL ET TECHNO.);2019;BELLEVILLE EN BEAUJOLAIS;LYON;RHONE;90;95
LYCEE ROSA PARKS;2019;NEUVILLE SUR SAONE;LYON;RHONE;91;95
LYCEE SAINT CHARLES;2019;RILLIEUX LA PAPE;LYON;RHONE;94;97
LYCEE L?ON BLUM (GENERAL ET TECHNO.);2019;LE CREUSOT;DIJON;SAONE ET LOIRE;88;90
LYCEE RENE CASSIN (GENERAL ET TECHNO.);2019;MACON;DIJON;SAONE ET LOIRE;91;93
LYCEE HENRI PARRIAT;2019;MONTCEAU LES MINES;DIJON;SAONE ET LOIRE;87;91
LYCEE JEANNE D'ARC;2019;PARAY LE MONIAL;DIJON;SAONE ET LOIRE;99;94
LYCEE SAINT LAZARE (GENERAL ET TECHNO.);2019;AUTUN;DIJON;SAONE ET LOIRE;92;96
LYCEE LE MANS SUD (GENERAL ET TECHNO.);2019;LE MANS;NANTES;SARTHE;85;90
LYCEE ST JOSEPH LA SALLE (GENERAL ET TECHNO.);2019;PRUILLE LE CHETIF;NANTES;SARTHE;100;98
LYCEE MARGUERITE YOURCENAR;2019;LE MANS;NANTES;SARTHE;89;94
LYCEE ST PAUL-NOTRE DAME;2019;LA FERTE BERNARD;NANTES;SARTHE;92;91
LYCEE JEAN MOULIN;2019;ALBERTVILLE;GRENOBLE;SAVOIE;93;95
LYCEE AMBROISE CROIZAT (GENERAL ET TECHNO.);2019;MOUTIERS TARENTAISE;GRENOBLE;SAVOIE;97;96
LYCEE SAINT EXUPERY;2019;BOURG ST MAURICE;GRENOBLE;SAVOIE;92;94
LYCEE SAINT JOSEPH;2019;SALLANCHES;GRENOBLE;HAUTE SAVOIE;97;94
LYCEE SAINT FRANCOIS;2019;VILLE LA GRAND;GRENOBLE;HAUTE SAVOIE;97;97
LYCEE CHARLES BAUDELAIRE;2019;ANNECY;GRENOBLE;HAUTE SAVOIE;92;95
LYCEE TURGOT;2019;PARIS 03;PARIS;PARIS;93;88
LYCEE HENRI IV;2019;PARIS 05;PARIS;PARIS;100;99
LYCEE LOUIS LE GRAND;2019;PARIS 05;PARIS;PARIS;100;99
LYCEE LAVOISIER;2019;PARIS 05;PARIS;PARIS;99;98
LYCEE MONTAIGNE;2019;PARIS 06;PARIS;PARIS;95;95
LYCEE JULES FERRY;2019;PARIS 09;PARIS;PARIS;94;93
LYCEE PAUL VALERY;2019;PARIS 12;PARIS;PARIS;77;80
LYCEE RABELAIS;2019;PARIS 18;PARIS;PARIS;83;76
LYCEE EMILE DUBOIS;2019;PARIS 14;PARIS;PARIS;88;86
LYCEE CAMILLE SEE;2019;PARIS 15;PARIS;PARIS;91;88
LYCEE MOLIERE;2019;PARIS 16;PARIS;PARIS;89;91
LYCEE HONORE DE BALZAC;2019;PARIS 17;PARIS;PARIS;96;90
LYCEE HENRI BERGSON;2019;PARIS 19;PARIS;PARIS;80;82
LYCEE HELENE BOUCHER;2019;PARIS 20;PARIS;PARIS;96;96
LYCEE LOUIS ARMAND (GENERAL ET TECHNO.);2019;PARIS 15;PARIS;PARIS;83;81
ECOLE INTERNATIONAL BILINGUE;2019;PARIS 17;PARIS;PARIS;100;98
LYCEE LOUISE DE MARILLAC;2019;PARIS 05;PARIS;PARIS;100;98
LYCEE LA ROCHEFOUCAULD;2019;PARIS 07;PARIS;PARIS;99;99
ECOLE ACTIVE JEANNINE MANUEL;2019;PARIS 15;PARIS;PARIS;100;ND
LYCEE SAINT-MICHEL DE PICPUS;2019;PARIS 12;PARIS;PARIS;100;99
LYCEE BLOMET;2019;PARIS 15;PARIS;PARIS;100;99
LYCEE LE REBOURS;2019;PARIS 13;PARIS;PARIS;99;95
LYCEE GEORGES BRASSENS;2019;PARIS 19;PARIS;PARIS;99;98
LYCEE NOTRE-DAME -ST VINCENT DE PAUL;2019;PARIS 13;PARIS;PARIS;91;95
LYCEE ANGUIER (GENERAL ET TECHNO.);2019;EU;NORMANDIE;SEINE MARITIME;91;94
LYCEE SCHUMAN-PERRET;2019;LE HAVRE;NORMANDIE;SEINE MARITIME;78;83
LYCEE GUILLAUME LE CONQUERANT;2019;LILLEBONNE;NORMANDIE;SEINE MARITIME;92;93
LYCEE JEAN PREVOST;2019;MONTIVILLIERS;NORMANDIE;SEINE MARITIME;93;95
LYCEE JEANNE D'ARC;2019;ROUEN;NORMANDIE;SEINE MARITIME;91;94
LYCEE CAMILLE SAINT-SAENS;2019;ROUEN;NORMANDIE;SEINE MARITIME;93;94
LYCEE PROVIDENCE SAINTE THERESE (GENERAL ET TECHNO.);2019;ROUEN;NORMANDIE;SEINE MARITIME;96;94
LYCEE LA PROVIDENCE;2019;DIEPPE;NORMANDIE;SEINE MARITIME;96;97
LYCEE FENELON;2019;ELBEUF;NORMANDIE;SEINE MARITIME;95;95
LYCEE PIERRE DE COUBERTIN (GENERAL ET TECHNO.);2019;BOLBEC;NORMANDIE;SEINE MARITIME;84;90
LYCEE FRANCOISE DE GRACE (GENERAL ET TECHNO.);2019;LE HAVRE;NORMANDIE;SEINE MARITIME;93;89
LYCEE LA FAYETTE (GENERAL ET TECHNO.);2019;CHAMPAGNE SUR SEINE;CRETEIL;SEINE ET MARNE;89;90
LYCEE DE COULOMMIERS (GENERAL ET TECHNO.);2019;COULOMMIERS;CRETEIL;SEINE ET MARNE;82;87
LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.);2019;MELUN;CRETEIL;SEINE ET MARNE;84;80
LYCEE SAINT ASPAIS (GENERAL ET TECHNO.);2019;MELUN;CRETEIL;SEINE ET MARNE;98;98
LYCEE BOSSUET;2019;MEAUX;CRETEIL;SEINE ET MARNE;96;96
LYCEE LES PANNEVELLES (GENERAL ET TECHNO.);2019;PROVINS;CRETEIL;SEINE ET MARNE;90;90
LYCEE GALILEE;2019;COMBS LA VILLE;CRETEIL;SEINE ET MARNE;91;92
LYCEE PIERRE MENDES-FRANCE;2019;SAVIGNY LE TEMPLE;CRETEIL;SEINE ET MARNE;88;87
LYCEE MAURICE RONDEAU;2019;BUSSY ST GEORGES;CRETEIL;SEINE ET MARNE;99;97
LYCEE MILITAIRE (GENERAL ET TECHNO.);2019;ST CYR L ECOLE;VERSAILLES;YVELINES;100;98
LYCEE FRANCOIS VILLON;2019;LES MUREAUX;VERSAILLES;YVELINES;92;87
LYCEE LES SEPT MARES;2019;MAUREPAS;VERSAILLES;YVELINES;94;91
LYCEE DESCARTES;2019;MONTIGNY LE BRETONNEUX;VERSAILLES;YVELINES;94;96
LYCEE SAINTE THERESE;2019;RAMBOUILLET;VERSAILLES;YVELINES;99;99
LYCEE EMILIE DE BRETEUIL (GENERAL ET TECHNO.);2019;MONTIGNY LE BRETONNEUX;VERSAILLES;YVELINES;89;92
LYCEE JEAN MONNET (GENERAL ET TECHNO.);2019;LA QUEUE LES YVELINES;VERSAILLES;YVELINES;89;95
LYCEE LOUIS DE BROGLIE;2019;MARLY LE ROI;VERSAILLES;YVELINES;97;96
LYCEE CONDORCET (GENERAL ET TECHNO.);2019;LIMAY;VERSAILLES;YVELINES;90;89
LYCEE ST EXUPERY;2019;MANTES LA JOLIE;VERSAILLES;YVELINES;87;85
LYCEE JULES FERRY (GENERAL ET TECHNO.);2019;VERSAILLES;VERSAILLES;YVELINES;88;94
LYCEE BLANCHE DE CASTILLE;2019;LE CHESNAY ROCQUENCOURT;VERSAILLES;YVELINES;100;98
LYCEE NOTRE DAME (GENERAL ET TECHNO.);2019;ST GERMAIN EN LAYE;VERSAILLES;YVELINES;100;99
LYCEE NOTRE DAME;2019;MANTES LA JOLIE;VERSAILLES;YVELINES;98;97
LYCEE NOTRE DAME;2019;VERNEUIL SUR SEINE;VERSAILLES;YVELINES;100;98
LYCEE SAINT JEAN ET HULST;2019;VERSAILLES;VERSAILLES;YVELINES;100;99
LYCEE NOTRE DAME DU GRANDCHAMP;2019;VERSAILLES;VERSAILLES;YVELINES;100;98
LYCEE PAUL GUERIN;2019;NIORT;POITIERS;DEUX-SEVRES;93;94
CITE SCOLAIRE JEAN MOULIN;2019;THOUARS;POITIERS;DEUX-SEVRES;92;94
LYCEE SAINT ANDRE (GENERAL ET TECHNO.);2019;NIORT;POITIERS;DEUX-SEVRES;99;97
LYCEE LOUIS THUILLIER;2019;AMIENS;AMIENS;SOMME;92;96
LYCEE SAINT REMI;2019;AMIENS;AMIENS;SOMME;95;94
LYCEE JEAN BAPTISTE DELAMBRE;2019;AMIENS;AMIENS;SOMME;81;87
LYCEE LA PROVIDENCE;2019;AMIENS;AMIENS;SOMME;98;96
LYCEE MONTALEMBERT;2019;DOULLENS;AMIENS;SOMME;92;95
LYCEE LAPEROUSE;2019;ALBI;TOULOUSE;TARN;97;97
LYCEE JEAN JAURES (GENERAL ET TECHNO.);2019;CARMAUX;TOULOUSE;TARN;93;90
LYCEE MARECHAL SOULT;2019;MAZAMET;TOULOUSE;TARN;92;92
LYCEE JULES MICHELET;2019;MONTAUBAN;TOULOUSE;TARN ET GARONNE;90;93
LYCEE CLAUDE NOUGARO (GENERAL ET TECHNO.);2019;MONTEILS;TOULOUSE;TARN ET GARONNE;86;89
LYCEE RAYNOUARD (GENERAL ET TECHNO.);2019;BRIGNOLES;NICE;VAR;92;92
LYCEE BEAUSSIER;2019;LA SEYNE SUR MER;NICE;VAR;85;88
LYCEE SAINT JOSEPH;2019;OLLIOULES;NICE;VAR;100;98
LYCEE ALBERT CAMUS (GENERAL ET TECHNO.);2019;FREJUS;NICE;VAR;93;91
LYCEE SAINTE JEANNE D ARC (GENERAL ET TECHNO.);2019;BRIGNOLES;NICE;VAR;99;97
LYCEE STANISLAS;2019;ST RAPHAEL;NICE;VAR;100;97
LYCEE ROUVIERE (GENERAL ET TECHNO.);2019;TOULON;NICE;VAR;96;95
LYCEE CHARLES DE GAULLE (PLACE) (GENERAL ET TECHNO.);2019;APT;AIX-MARSEILLE;VAUCLUSE;91;89
LYCEE FREDERIC MISTRAL;2019;AVIGNON;AIX-MARSEILLE;VAUCLUSE;90;90
LYCEE ST JEAN BAPTISTE DE LA SALLE (GENERAL ET TECHNO.);2019;AVIGNON;AIX-MARSEILLE;VAUCLUSE;96;96
LYCEE PIERRE MENDES-FRANCE;2019;LA ROCHE SUR YON;NANTES;VENDEE;91;94
LYCEE SAVARY DE MAULEON;2019;LES SABLES D OLONNE;NANTES;VENDEE;93;93
LYCEE STE MARIE DU PORT (GENERAL ET TECHNO.);2019;LES SABLES D OLONNE;NANTES;VENDEE;97;97
LYCEE JEANNE D'ARC;2019;MONTAIGU VENDEE;NANTES;VENDEE;97;96
LYCEE FRANCOIS TRUFFAUT;2019;CHALLANS;NANTES;VENDEE;95;94
LYCEE CAMILLE GUERIN;2019;POITIERS;POITIERS;VIENNE;91;96
LYCEE ST JACQUES DE COMPOSTELLE (GENERAL ET TECHNO.);2019;POITIERS;POITIERS;VIENNE;95;95
LYCEE UNION CHRETIENNE;2019;POITIERS;POITIERS;VIENNE;98;98
LYCEE BERNARD PALISSY;2019;ST LEONARD DE NOBLAT;LIMOGES;HAUTE VIENNE;90;91
LYCEE RAOUL DAUTRY;2019;LIMOGES;LIMOGES;HAUTE VIENNE;82;91
LYCEE ST JEAN;2019;LIMOGES;LIMOGES;HAUTE VIENNE;95;97
LYCEE JEAN LURCAT;2019;BRUYERES;NANCY-METZ;VOSGES;93;91
LYCEE BEAU JARDIN;2019;ST DIE DES VOSGES;NANCY-METZ;VOSGES;94;95
LYCEE NOTRE DAME - SAINT JOSEPH;2019;EPINAL;NANCY-METZ;VOSGES;100;95
LYCEE PIERRE LAROUSSE;2019;TOUCY;DIJON;YONNE;88;92
LYCEE CATHERINE ET RAYMOND JANOT;2019;SENS;DIJON;YONNE;90;89
LYCEE NOTRE DAME DES ANGES;2019;BELFORT;BESANCON;TERRITOIRE DE BELFORT;91;82
LYCEE ROBERT DOISNEAU (GENERAL ET TECHNO.);2019;CORBEIL ESSONNES;VERSAILLES;ESSONNE;85;85
LYCEE GEOFFROY-SAINT-HILAIRE (GENERAL ET TECHNO.);2019;ETAMPES;VERSAILLES;ESSONNE;91;92
LYCEE FUSTEL DE COULANGES;2019;MASSY;VERSAILLES;ESSONNE;88;91
LYCEE JEAN-PIERRE TIMBAUD (GENERAL ET TECHNO.);2019;BRETIGNY SUR ORGE;VERSAILLES;ESSONNE;88;90
LYCEE VALLEE DE CHEVREUSE;2019;GIF SUR YVETTE;VERSAILLES;ESSONNE;95;96
LYCEE MAURICE ELIOT;2019;EPINAY SOUS SENART;VERSAILLES;ESSONNE;78;84
LYCEE NOTRE DAME DE SION (GENERAL ET TECHNO.);2019;EVRY COURCOURONNES;VERSAILLES;ESSONNE;99;96
LYCEE GASPARD MONGE (GENERAL ET TECHNO.);2019;SAVIGNY SUR ORGE;VERSAILLES;ESSONNE;91;86
LYCEE SAINT LEON (GENERAL ET TECHNO.);2019;CORBEIL ESSONNES;VERSAILLES;ESSONNE;97;97
LYCEE HENRI POINCARE (GENERAL ET TECHNO.);2019;PALAISEAU;VERSAILLES;ESSONNE;88;90
LYCEE AUGUSTE RENOIR;2019;ASNIERES SUR SEINE;VERSAILLES;HAUTS DE SEINE;88;86
LYCEE PAUL LAPIE;2019;COURBEVOIE;VERSAILLES;HAUTS DE SEINE;86;90
LYCEE JOLIOT-CURIE (GENERAL ET TECHNO.);2019;NANTERRE;VERSAILLES;HAUTS DE SEINE;80;81
LYCEE MARIE CURIE;2019;SCEAUX;VERSAILLES;HAUTS DE SEINE;97;97
LYCEE RICHELIEU;2019;RUEIL MALMAISON;VERSAILLES;HAUTS DE SEINE;89;95
LYCEE SAINTE MARIE;2019;NEUILLY SUR SEINE;VERSAILLES;HAUTS DE SEINE;100;100
LYCEE GALILEE (GENERAL ET TECHNO.);2019;GENNEVILLIERS;VERSAILLES;HAUTS DE SEINE;88;83
LYCEE MAURICE GENEVOIX;2019;MONTROUGE;VERSAILLES;HAUTS DE SEINE;80;82
LYCEE MONTALEMBERT (GENERAL ET TECHNO.);2019;COURBEVOIE;VERSAILLES;HAUTS DE SEINE;100;98
LYCEE EUGENE IONESCO (GENERAL ET TECHNO.);2019;ISSY LES MOULINEAUX;VERSAILLES;HAUTS DE SEINE;83;92
LYCEE EUGENE DELACROIX (GENERAL ET TECHNO.);2019;DRANCY;CRETEIL;SEINE SAINT-DENIS;89;75
LYCEE CONDORCET;2019;MONTREUIL;CRETEIL;SEINE SAINT-DENIS;86;86
LYCEE JEAN ROSTAND (GENERAL ET TECHNO.);2019;VILLEPINTE;CRETEIL;SEINE SAINT-DENIS;85;80
LYCEE ANDRE BOULLOCHE;2019;LIVRY GARGAN;CRETEIL;SEINE SAINT-DENIS;90;91
LYCEE JEAN-BAPTISTE DE LA SALLE;2019;ST DENIS;CRETEIL;SEINE SAINT-DENIS;98;93
LYCEE ALLIANCE;2019;LES PAVILLONS SOUS BOIS;CRETEIL;SEINE SAINT-DENIS;100;89
LYCEE ALFRED NOBEL (GENERAL ET TECHNO.);2019;CLICHY SOUS BOIS;CRETEIL;SEINE SAINT-DENIS;83;69
LYCEE MAURICE UTRILLO (GENERAL ET TECHNO.);2019;STAINS;CRETEIL;SEINE SAINT-DENIS;90;76
LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.);2019;TREMBLAY EN FRANCE;CRETEIL;SEINE SAINT-DENIS;82;77
LYCEE LUCIE AUBRAC (GENERAL ET TECHNO.);2019;PANTIN;CRETEIL;SEINE SAINT-DENIS;93;80
LYCEE SUGER (GENERAL ET TECHNO.);2019;ST DENIS;CRETEIL;SEINE SAINT-DENIS;82;74
LYCEE NICOLAS-JOSEPH CUGNOT (GENERAL ET TECHNO.);2019;NEUILLY SUR MARNE;CRETEIL;SEINE SAINT-DENIS;82;80
LYCEE MERKAZ HATORAH FILLES;2019;LE RAINCY;CRETEIL;SEINE SAINT-DENIS;100;97
LYCEE ROMAIN ROLLAND;2019;IVRY SUR SEINE;CRETEIL;VAL-DE-MARNE;88;83
LYCEE EUGENE DELACROIX;2019;MAISONS ALFORT;CRETEIL;VAL-DE-MARNE;94;94
LYCEE MARCELIN BERTHELOT;2019;ST MAUR DES FOSSES;CRETEIL;VAL-DE-MARNE;98;97
LYCEE MAXIMILIEN PERRET (GENERAL ET TECHNO.);2019;ALFORTVILLE;CRETEIL;VAL-DE-MARNE;84;81
LYCEE JEAN MACE (GENERAL ET TECHNO.);2019;VITRY SUR SEINE;CRETEIL;VAL-DE-MARNE;85;82
LYCEE GEORGES BRASSENS (GENERAL ET TECHNO.);2019;VILLENEUVE LE ROI;CRETEIL;VAL-DE-MARNE;80;80
LYCEE MONTALEMBERT;2019;NOGENT SUR MARNE;CRETEIL;VAL-DE-MARNE;100;99
LYCEE SAINT MICHEL;2019;ST MANDE;CRETEIL;VAL-DE-MARNE;100;97
LYCEE CHRISTOPHE COLOMB (GENERAL ET TECHNO.);2019;SUCY EN BRIE;CRETEIL;VAL-DE-MARNE;92;94
LYCEE PAULINE ROLAND (GENERAL ET TECHNO.);2019;CHEVILLY LARUE;CRETEIL;VAL-DE-MARNE;86;85
LYCEE RENE CASSIN;2019;GONESSE;VERSAILLES;VAL D'OISE;85;82
LYCEE GERARD DE NERVAL;2019;LUZARCHES;VERSAILLES;VAL D'OISE;92;93
LYCEE CAMILLE PISSARRO (GENERAL ET TECHNO.);2019;PONTOISE;VERSAILLES;VAL D'OISE;85;90
LYCEE GEORGES BRAQUE (GENERAL ET TECHNO.);2019;ARGENTEUIL;VERSAILLES;VAL D'OISE;80;76
LYCEE NOTRE-DAME;2019;SANNOIS;VERSAILLES;VAL D'OISE;100;98
LYCEE LOUIS JOUVET (GENERAL ET TECHNO.);2019;TAVERNY;VERSAILLES;VAL D'OISE;85;89
LYCEE FERNAND ET NADIA LEGER (GENERAL ET TECHNO.);2019;ARGENTEUIL;VERSAILLES;VAL D'OISE;82;76
LYCEE GUSTAVE MONOD (GENERAL ET TECHNO.);2019;ENGHIEN LES BAINS;VERSAILLES;VAL D'OISE;78;87
LYCEE SAINT JOSEPH;2019;ARGENTEUIL;VERSAILLES;VAL D'OISE;100;96
LYCEE GEORGES CLEMENCEAU SARTENE (GENERAL ET TECHNO.);2019;SARTENE;CORSE;CORSE DU SUD;87;79
LYCEE JEAN PAUL DE ROCCA SERRA (GENERAL ET TECHNO.);2019;PORTO VECCHIO;CORSE;CORSE DU SUD;96;91
INSTITUTION SAINT-PAUL;2019;AJACCIO;CORSE;CORSE DU SUD;82;85
LYCEE GIOCANTE DE CASABIANCA;2019;BASTIA;CORSE;HAUTE CORSE;92;88
LYCEE PASCAL PAOLI;2019;CORTE;CORSE;HAUTE CORSE;97;92
LYCEE DU FIUM'ORBU (GENERAL ET TECHNO.);2019;PRUNELLI DI FIUMORBO;CORSE;HAUTE CORSE;91;87
LYCEE GERVILLE REACHE;2019;BASSE TERRE;GUADELOUPE;GUADELOUPE;94;90
LYCEE FAUSTIN FLERET;2019;MORNE A L EAU;GUADELOUPE;GUADELOUPE;93;86
LYCEE DES DROITS DE L'HOMME;2019;PETIT BOURG;GUADELOUPE;GUADELOUPE;95;89
LYCEE YVES LEBORGNE;2019;STE ANNE;GUADELOUPE;GUADELOUPE;90;87
LYCEE POINTE NOIRE (GENERAL ET TECHNO.);2019;POINTE NOIRE;GUADELOUPE;GUADELOUPE;90;91
LYCEE CHEVALIER DE SAINT-GEORGES (GENERAL ET TECHNO.);2019;LES ABYMES;GUADELOUPE;GUADELOUPE;73;74
LYCEE VICTOR SCHOELCHER;2019;FORT DE FRANCE;MARTINIQUE;MARTINIQUE;79;77
LYCEE BELLEVUE;2019;FORT DE FRANCE;MARTINIQUE;MARTINIQUE;95;90
LYCEE ST JOSEPH DE CLUNY;2019;FORT DE FRANCE;MARTINIQUE;MARTINIQUE;100;97
LYCEE AMEP (GENERAL ET TECHNO.);2019;FORT DE FRANCE;MARTINIQUE;MARTINIQUE;93;77
SEMINAIRE COLLEGE STE MARIE;2019;FORT DE FRANCE;MARTINIQUE;MARTINIQUE;100;96
LYCEE VICTOR ANICET (EX SAINT-JAMES) (GENERAL ET TECHNO.);2019;ST PIERRE;MARTINIQUE;MARTINIQUE;71;73
LYCEE GASTON MONNERVILLE;2019;KOUROU;GUYANE;GUYANE;90;85
LYCEE ANNE MARIE JAVOUHEY (GENERAL ET TECHNO.);2019;CAYENNE;GUYANE;GUYANE;93;ND
LYCEE LAMA PREVOT (GENERAL ET TECHNO.);2019;REMIRE MONTJOLY;GUYANE;GUYANE;84;89
LYCEE AMBROISE VOLLARD;2019;ST PIERRE;LA REUNION;REUNION;88;88
LYCEE AMIRAL PIERRE BOUVET;2019;ST BENOIT;LA REUNION;REUNION;94;91
LYCEE LOUIS PAYEN;2019;ST PAUL;LA REUNION;REUNION;98;91
LYCEE LE VERGER;2019;STE MARIE;LA REUNION;REUNION;84;83
LYCEE DE TROIS BASSINS (GENERAL ET TECHNO.);2019;LES TROIS BASSINS;LA REUNION;REUNION;92;89
LYCEE MARIE CURIE (GENERAL ET TECHNO.);2019;ST BENOIT;LA REUNION;REUNION;99;93
LYCEE BEL AIR (GENERAL ET TECHNO.);2019;STE SUZANNE;LA REUNION;REUNION;94;91
LYCEE GUSTAVE EIFFEL (GENERAL ET TECHNO.);2019;OUANGANI;MAYOTTE;MAYOTTE;51;ND
LYCEE LALANDE;2018;BOURG EN BRESSE;LYON;AIN;96;95
LYCEE INTERNATIONAL (GENERAL ET TECHNO.);2018;FERNEY VOLTAIRE;LYON;AIN;90;95
LYCEE JEANNE D'ARC;2018;CESSY;LYON;AIN;97;98
LYCEE DE LA PLAINE DE L'AIN;2018;AMBERIEU EN BUGEY;LYON;AIN;88;95
LYCEE DE LA COTIERE;2018;LA BOISSE;LYON;AIN;86;94
LYCEE PIERRE MECHAIN (GENERAL ET TECHNO.);2018;LAON;AMIENS;AISNE;95;95
LYCEE LA PROVIDENCE;2018;LAON;AMIENS;AISNE;93;96
LYCEE EUROPEEN;2018;VILLERS COTTERETS;AMIENS;AISNE;97;93
LYCEE THEODORE DE BANVILLE;2018;MOULINS;CLERMONT-FERRAND;ALLIER;92;94
LYCEE ANDRE HONNORAT (GENERAL ET TECHNO.);2018;BARCELONNETTE;AIX-MARSEILLE;ALPES DE HTE PROVENCE;87;90
LYCEE ALEXANDRA DAVID NEEL;2018;DIGNE LES BAINS;AIX-MARSEILLE;ALPES DE HTE PROVENCE;90;90
LYCEE D ALTITUDE (GENERAL ET TECHNO.);2018;BRIANCON;AIX-MARSEILLE;HAUTES ALPES;96;93
LYCEE ST JOSEPH;2018;GAP;AIX-MARSEILLE;HAUTES ALPES;97;93
LYCEE JACQUES AUDIBERTI;2018;ANTIBES;NICE;ALPES MARITIMES;82;86
LYCEE JULES FERRY;2018;CANNES LA BOCCA;NICE;ALPES MARITIMES;94;96
LYCEE PARC IMPERIAL;2018;NICE;NICE;ALPES MARITIMES;92;90
LYCEE MASSENA;2018;NICE;NICE;ALPES MARITIMES;94;94
LYCEE HONORE D'ESTIENNE D'ORVES (GENERAL ET TECHNO.);2018;NICE;NICE;ALPES MARITIMES;89;93
LYCEE HOTELIER TOURISME-PAUL AUGIER (GENERAL ET TECHNO.);2018;NICE;NICE;ALPES MARITIMES;97;96
LYCEE STANISLAS;2018;NICE;NICE;ALPES MARITIMES;100;98
LYCEE LES FAUVETTES;2018;CANNES;NICE;ALPES MARITIMES;91;94
LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.);2018;ANTIBES;NICE;ALPES MARITIMES;95;95
LYCEE DE LA MONTAGNE (GENERAL ET TECHNO.);2018;VALDEBLORE;NICE;ALPES MARITIMES;92;93
LYCEE MARCEL GIMOND (GENERAL ET TECHNO.);2018;AUBENAS;GRENOBLE;ARDECHE;84;91
LYCEE VINCENT D 'INDY (GENERAL ET TECHNO.);2018;PRIVAS;GRENOBLE;ARDECHE;87;93
LYCEE JULES FROMENT;2018;AUBENAS;GRENOBLE;ARDECHE;94;92
LYCEE FRANCOIS BAZIN (GENERAL ET TECHNO.);2018;CHARLEVILLE MEZIERES;REIMS;ARDENNES;83;90
LYCEE VAUBAN;2018;GIVET;REIMS;ARDENNES;77;83
LYCEE PAUL VERLAINE (GENERAL ET TECHNO.);2018;RETHEL;REIMS;ARDENNES;89;90
LYCEE MABILLON;2018;SEDAN;REIMS;ARDENNES;99;95
LYCEE (GENERAL ET TECHNO.);2018;MIREPOIX;TOULOUSE;ARIEGE;94;88
LYCEE SAINT LOUIS (GENERAL ET TECHNO.);2018;CARCASSONNE;MONTPELLIER;AUDE;94;90
LYCEE IMMACULEE CONCEPTION;2018;ESPALION;TOULOUSE;AVEYRON;90;89
LYCEE FRANCOIS D'ESTAING;2018;RODEZ;TOULOUSE;AVEYRON;96;96
LYCEE EMILE ZOLA;2018;AIX EN PROVENCE;AIX-MARSEILLE;BOUCHES DU RHONE;94;92
LYCEE PASQUET;2018;ARLES;AIX-MARSEILLE;BOUCHES DU RHONE;81;91
LYCEE MARCEL PAGNOL;2018;MARSEILLE 10;AIX-MARSEILLE;BOUCHES DU RHONE;85;85
LYCEE SAINT CHARLES;2018;MARSEILLE 01;AIX-MARSEILLE;BOUCHES DU RHONE;84;85
LYCEE JEAN PERRIN (GENERAL ET TECHNO.);2018;MARSEILLE 10;AIX-MARSEILLE;BOUCHES DU RHONE;84;87
LYCEE HONORE DAUMIER;2018;MARSEILLE 08;AIX-MARSEILLE;BOUCHES DU RHONE;88;88
LYCEE NATIVITE (LA);2018;AIX EN PROVENCE;AIX-MARSEILLE;BOUCHES DU RHONE;100;98
LYCEE TOUR SAINTE (DE);2018;MARSEILLE 14;AIX-MARSEILLE;BOUCHES DU RHONE;89;77
LYCEE MELIZAN;2018;MARSEILLE 11;AIX-MARSEILLE;BOUCHES DU RHONE;99;97
LYCEE NOTRE DAME DE SION;2018;MARSEILLE 06;AIX-MARSEILLE;BOUCHES DU RHONE;98;95
LYCEE STE TRINITE;2018;MARSEILLE 09;AIX-MARSEILLE;BOUCHES DU RHONE;94;93
LYCEE ST VINCENT DE PAUL (GENERAL ET TECHNO.);2018;MARSEILLE 06;AIX-MARSEILLE;BOUCHES DU RHONE;92;91
LYCEE PASTRE - GRANDE BASTIDE (GENERAL ET TECHNO.);2018;MARSEILLE 09;AIX-MARSEILLE;BOUCHES DU RHONE;97;97
LYCEE FREDERIC JOLIOT-CURIE;2018;AUBAGNE;AIX-MARSEILLE;BOUCHES DU RHONE;87;91
LYCEE CHIMIE ET BIOLOGIE LA FORBINE;2018;MARSEILLE 11;AIX-MARSEILLE;BOUCHES DU RHONE;96;90
LYCEE AUGUSTE ET LOUIS LUMIERE (GENERAL ET TECHNO.);2018;LA CIOTAT;AIX-MARSEILLE;BOUCHES DU RHONE;87;90
LYCEE JEAN LURCAT;2018;MARTIGUES;AIX-MARSEILLE;BOUCHES DU RHONE;97;90
LYCEE ORT LEON BRAMSON;2018;MARSEILLE 10;AIX-MARSEILLE;BOUCHES DU RHONE;88;83
LYCEE CELONY (GENERAL ET TECHNO.);2018;AIX EN PROVENCE;AIX-MARSEILLE;BOUCHES DU RHONE;93;96
